# Target Sample Rate: 415 Hz
# Max Device Sample Rate: 415 Hz
# Recording started at: 2025-12-13 14:00:28.655
#time      ωₓ (rad/s)      ωᵧ (rad/s)      ωᶻ (rad/s)      ω_total (rad/s)
2.929494      18.504      7.559      0.802      20.005
2.935149      18.332      7.892      2.086      20.067
2.946847      18.288      7.979      2.304      20.085
2.949780      17.989      8.551      3.433      20.211
2.963427      17.915      8.691      3.666      20.246
2.966967      17.314      9.731      5.130      20.513
2.979983      17.187      9.936      5.385      20.570
2.983388      16.221      11.345      6.994      20.994
2.997133      16.020      11.606      7.273      21.077
3.001562      14.537      13.312      8.998      21.668
3.012141      14.236      13.612      9.292      21.778
3.015129      12.478      15.148      10.743      22.373
3.019734      12.072      15.453      11.028      22.498
3.030500      11.648      15.757      11.311      22.625
3.033374      9.236      17.183      12.610      23.229
3.046803      8.695      17.442      12.844      23.341
3.050619      5.113      18.699      13.976      23.898
3.053250      4.467      18.849      14.110      23.965
3.063081      3.811      18.977      14.225      24.021
3.065491      1.109      19.277      14.497      24.145
3.070379      -0.264      19.290      14.514      24.142
3.080091      -0.949      19.261      14.490      24.122
3.082621      -3.644      18.916      14.204      23.935
3.095465      -4.943      18.615      13.947      23.779
3.098915      -7.956      17.552      13.028      23.261
3.102263      -8.510      17.294      12.804      23.140
3.112335      -9.047      17.026      12.568      23.015
3.114771      -11.008      15.865      11.538      22.494
3.118848      -11.871      15.250      10.981      22.228
3.129840      -12.276      14.938      10.697      22.097
3.132483      -13.708      13.686      9.538      21.591
3.145626      -14.317      13.071      8.954      21.354
3.149250      -15.568      11.616      7.517      20.828
3.151561      -15.778      11.342      7.238      20.736
3.162690      -15.974      11.077      6.962      20.648
3.165295      -16.778      9.862      5.628      20.259
3.168070      -16.906      9.642      5.371      20.190
3.178731      -17.027      9.432      5.119      20.127
3.183054      -17.509      8.512      3.914      19.858
3.186137      -17.581      8.353      3.684      19.810
3.196018      -17.649      8.202      3.457      19.767
3.199655      -17.906      7.579      2.362      19.587
3.212346      -17.939      7.480      2.152      19.554
3.214950      -18.059      7.113      1.126      19.442
3.217587      -18.070      7.064      0.924      19.424
3.228550      -18.080      7.024      0.723      19.410
3.231317      -18.072      6.944      -0.264      19.362
3.235367      -18.058      6.953      -0.462      19.356
3.246399      -18.047      6.969      -0.659      19.357
3.249414      -17.918      7.168      -1.655      19.370
3.251811      -17.885      7.232      -1.858      19.382
3.263326      -17.847      7.305      -2.061      19.394
3.266518      -17.592      7.791      -3.113      19.490
3.281550      -17.527      7.914      -3.329      19.517
3.284238      -17.035      8.816      -4.685      19.745
3.295104      -16.932      8.994      -4.921      19.794
3.297812      -16.309      9.997      -6.152      20.094
3.299990      -16.160      10.221      -6.407      20.166
3.310608      -16.001      10.450      -6.666      20.240
3.314873      -15.044      11.702      -8.003      20.671
3.317767      -14.815      11.965      -8.274      20.763
3.328473      -14.574      12.234      -8.550      20.861
3.333122      -13.152      13.599      -9.932      21.367
3.334959      -12.824      13.876      -10.209      21.476
3.344392      -12.479      14.147      -10.480      21.580
3.350005      -10.507      15.459      -11.783      22.096
3.352222      -10.061      15.705      -12.027      22.192
3.364315      -9.600      15.941      -12.261      22.285
3.367252      -7.058      16.990      -13.299      22.701
3.382196      -6.506      17.166      -13.472      22.771
3.384642      -2.981      17.940      -14.208      23.078
3.397124      -2.368      18.016      -14.275      23.108
3.418372      1.367      18.123      -14.309      23.131
3.429861      5.512      17.494      -13.587      22.826
3.433762      8.596      16.384      -12.431      22.291
3.435993      9.054      16.155      -12.202      22.178
3.443422      9.497      15.918      -11.966      22.063
3.448665      11.096      14.887      -10.964      21.563
3.451168      11.453      14.614      -10.704      21.432
3.459521      11.797      14.336      -10.440      21.300
3.463758      13.021      13.214      -9.370      20.783
3.466506      13.291      12.931      -9.102      20.657
3.467950      13.549      12.650      -8.834      20.534
3.477729      13.792      12.371      -8.570      20.414
3.482812      14.842      11.020      -7.271      19.864
3.485948      15.021      10.766      -7.020      19.769
3.496843      15.192      10.519      -6.772      19.680
3.499852      15.920      9.411      -5.584      19.319
3.502738      16.046      9.218      -5.357      19.266
3.514740      16.162      9.036      -5.132      19.215
3.517357      16.668      8.279      -4.053      19.047
3.530816      16.829      8.041      -3.641      19.004
3.534085      17.172      7.604      -2.642      18.965
3.545173      17.227      7.541      -2.445      18.964
3.549272      17.462      7.320      -1.472      18.991
3.551285      17.498      7.294      -1.279      19.000
3.562032      17.533      7.273      -1.087      19.012
3.566976      17.644      7.264      -0.116      19.081
3.569140      17.641      7.283      0.079      19.085
3.579047      17.579      7.377      0.273      19.066
